id,title,colorCode,code
1,"Trắng","#FFFFFF","TR"
2,"Xanh Cô Ban","#46bdc6","XCB"
3,"Xanh Lá","#d9ead3","XL"
4,"Xanh Bích","#3c78d8","XB"
5,"Ghi đậm","#b7b7b7","GD"
6,"vàng","#ffff00","V"
7,"Đỏ","#ff0000","DO"
8,"Đen","#000000","DE"
9,"Tím","#b4a7d6","TI"
10,"Dạ Quang","#00ff00","DQ"
11,"Hồng Miler","#ff00ff","HM"
12,"xanh navy","#cfe2f3","XN"
13,"Cam","#ff9900","C"
14,"Đỏ Đô","#cc4125","DD"
15,"Bã Trầu","#85200c","BT"
16,"Xanh hòa bình","#6d9eeb","XHB"
17,"xanh Cửu long","#0b5394","XCL"
18,"ghi sáng","#efefef","GS"
19,"Xanh Ngọc","#00ffff","XN"
20,"Cam đất","#e69138","CD"
21,"Xanh chuối","#93c47d","XC"
22,"Rằn ri", null,"RR"
23,"Họa tiết sọc ngang", null,"HTSN"
24,"Muối tiêu", null,"MT"
25,"Xanh cổ vịt","#46bdc6","XCV"
26,"Xanh rêu","#93c47d","XR"
