id,title,key
1,Quản Lý Thông Tin Tài Khoản,AdminController
2,Quản Lý Banner,BannerController
3,Quản Lý Mẫu Hóa Đơn Thanh Toán,BillTemplateController
4,Quản Lý Đơn Vị Đối Tác,CollaboratorController
5,Quản Lý Thông Báo Marketing,MarketingNotificationController
6,Quản Lý Danh Mục Tin Tức,NewsCategoryController
7,Quản Lý TIn Tức,NewsController
8,Quản Lý Đơn Hàng,OrderController
9,Quản Lý PopUp Quảng Cáo,PopupController
10,Quản Lý Danh Mục Sản Phẩm,ProductCategoryController
11,Quản Lý Sản Phẩm,ProductController
12,Quản Lý Hạng Đối Tác,RankController
13,Quản Lý Bảng Giá,SaleCampaignController
14,Quản Lý Cài Đặt Hệ Thống,SystemSettingController
15,Quản Lý Cấp Bậc Đối Tác,SellerLevelController
16,Quản Lý Chính Sách Và Bảo Mật,TermController
17,Quản Lý Người dùng,UserController
18,Quản Lý Voucher Khuyến Mãi,VoucherApplicationController
19,Quản Lý Xuất kho,WarehouseExportController
20,Quản Lý Nhập kho,WarehouseReceiptController
21,Quản Lý Chuyển Kho,WarehouseTransferController
22,Quản Lý Báo cáo Kho,WarehouseReportController
23,Quản Lý Kho,WarehouseController
24,Quản Lý tài khoản ngân hàng,BankAccountController
25,Quản Lý chính sách và điều khoản,TermController
26,Quản Lý cài đặt hệ thống,SystemSettingController
27,Quản Lý phân quyền,RoleController
28,Quản Lý nhóm quyền,PermissionGroupsController
29,Quản lý hướng dẫn chọn size,SizeGuideController
30,Quản lý nạp tiền,TopUpDepositController
30,Quản lý rút tiền,WithdrawalRequestController
